CRITICAL | admin/reset-password | POST | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
CRITICAL | client | POST | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
CRITICAL | client/portal | GET | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
CRITICAL | installer/auth | POST | auth=NONE_FOUND | db=SERVICE_ROLE | RL
CRITICAL | installer/reset-pin | POST | auth=NONE_FOUND | db=SERVICE_ROLE | RL
CRITICAL | installer/reset-pin/confirm | POST | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
CRITICAL | installer/setup-pin | POST | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
CRITICAL | signup/initiate | POST | auth=NONE_FOUND | db=SERVICE_ROLE | RL
CRITICAL | walkthroughs/process | POST | auth=NONE_FOUND | db=SERVICE_ROLE | no_RL
ok | account/delete | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/account | PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/alerts | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/assign-all | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/assignments-matrix | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/audit | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/breadcrumbs | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/calendar | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/company | PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/diary-insights | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/email-prefs | GET,PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/expenses | GET,PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/job-progress | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/jobs | GET,PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/jobs/bulk-import | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/jobs/checklists | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/map | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/schedule-overview | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/settings | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/setup/complete | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/setup/default-hours | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/signins | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/sites | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/sites/[id] | PATCH,DELETE | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/sites/bulk-import | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/subcontractors | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/subcontractors/[id] | GET,PATCH,DELETE | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/team | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/team/bulk-import | POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/team/schedule | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/team-schedules | GET | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/time-off | GET,POST | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
ok | admin/time-off/[id] | PATCH | auth=ADMIN_SESSION | db=SERVICE_ROLE | no_RL
