account/delete | POST | SERVICE_ROLE | no_RL
admin/account | PATCH | SERVICE_ROLE | no_RL
admin/alerts | GET | SERVICE_ROLE | no_RL
admin/assign-all | POST | SERVICE_ROLE | no_RL
admin/assignments-matrix | GET,POST | SERVICE_ROLE | no_RL
admin/audit | GET,POST | SERVICE_ROLE | no_RL
admin/breadcrumbs | GET | SERVICE_ROLE | no_RL
admin/calendar | GET | SERVICE_ROLE | no_RL
admin/company | PATCH | SERVICE_ROLE | no_RL
admin/diary-insights | GET | SERVICE_ROLE | no_RL
admin/email-prefs | GET,PATCH | SERVICE_ROLE | no_RL
admin/expenses | GET,PATCH | SERVICE_ROLE | no_RL
admin/job-progress | GET | SERVICE_ROLE | no_RL
admin/jobs | GET,PATCH | SERVICE_ROLE | no_RL
admin/jobs/bulk-import | POST | SERVICE_ROLE | no_RL
admin/jobs/checklists | GET | SERVICE_ROLE | no_RL
admin/map | GET | SERVICE_ROLE | no_RL
admin/reset-password | POST | SERVICE_ROLE | no_RL
admin/schedule-overview | GET | SERVICE_ROLE | no_RL
admin/settings | GET,POST | SERVICE_ROLE | no_RL
admin/setup/complete | POST | SERVICE_ROLE | no_RL
admin/setup/default-hours | POST | SERVICE_ROLE | no_RL
admin/signins | GET | SERVICE_ROLE | no_RL
admin/sites | GET,POST | SERVICE_ROLE | no_RL
admin/sites/[id] | PATCH,DELETE | SERVICE_ROLE | no_RL
admin/sites/bulk-import | POST | SERVICE_ROLE | no_RL
admin/subcontractors | GET,POST | SERVICE_ROLE | no_RL
admin/subcontractors/[id] | GET,PATCH,DELETE | SERVICE_ROLE | no_RL
admin/team | GET,POST | SERVICE_ROLE | no_RL
admin/team/bulk-import | POST | SERVICE_ROLE | no_RL
admin/team/schedule | GET,POST | SERVICE_ROLE | no_RL
admin/team-schedules | GET | SERVICE_ROLE | no_RL
admin/time-off | GET,POST | SERVICE_ROLE | no_RL
admin/time-off/[id] | PATCH | SERVICE_ROLE | no_RL
admin/time-report | GET | SERVICE_ROLE | no_RL
admin/trades | GET,PATCH | SERVICE_ROLE | no_RL
admin/visit-assignments | POST | SERVICE_ROLE | no_RL
admin/visit-assignments/[id] | PATCH,DELETE | SERVICE_ROLE | no_RL
alerts | POST | SERVICE_ROLE | no_RL
analytics | GET | SERVICE_ROLE | no_RL
audit | GET | SERVICE_ROLE | no_RL
audit/email | POST | SERVICE_ROLE | no_RL
audit/iteration-narrative | POST | PUBLIC | no_RL
audit/report | GET | SERVICE_ROLE | no_RL
audit/share | GET,POST | SERVICE_ROLE | no_RL
audit/share/[id] | DELETE | SERVICE_ROLE | no_RL
audit/v2 | POST | SERVICE_ROLE | no_RL
audit/v2/action | POST | SERVICE_ROLE | no_RL
billing/ai-audit | POST | SERVICE_ROLE | no_RL
billing/cancel | POST | SERVICE_ROLE | no_RL
billing/checkout | POST | SERVICE_ROLE | no_RL
billing/portal | POST | SERVICE_ROLE | no_RL
